rep,max_update,best_org_fitness,best_org_id,update,evaluations,test_estimations,found_solution,pop_training_coverage,max_approx_agg_score,num_unique_selected,entropy_selected_ids,parents_training_coverage,training_coverage_loss
001,200,82,16,200,10050000,0,0,100,82,256,7.73011,100,0
002,200,75,0,200,10050000,0,0,100,75,313,8.12021,100,0
003,200,48,0,200,10050000,0,0,100,48,307,8.1027,100,0
004,200,90,0,200,10050000,0,0,100,90,256,7.47404,100,0
005,200,48,1,200,10050000,0,0,100,48,312,8.1149,100,0
006,200,75,2,200,10050000,0,0,100,75,323,8.18049,100,0
007,200,80,12,200,10050000,0,0,100,80,272,7.84612,100,0
008,200,75,0,200,10050000,0,0,100,75,309,8.08129,100,0
009,200,75,0,200,10050000,0,0,100,75,305,8.0787,100,0
010,200,75,2,200,10050000,0,0,100,75,318,8.15045,100,0
011,200,76,2,200,10050000,0,0,100,76,304,8.07659,100,0
012,200,77,47,200,10050000,0,0,100,77,254,7.72736,100,0
013,200,75,0,200,10050000,0,0,100,75,321,8.15287,100,0
014,200,85,2,200,10050000,0,0,100,85,285,7.96334,100,0
015,200,76,2,200,10050000,0,0,100,76,313,8.13674,100,0
016,200,48,4,200,10050000,0,0,100,48,308,8.08152,100,0
017,200,75,0,200,10050000,0,0,100,75,291,7.58949,100,0
018,200,98,1,200,10050000,0,0,100,98,284,7.97554,100,0
019,200,85,11,200,10050000,0,0,100,85,275,7.90608,100,0
020,200,75,1,200,10050000,0,0,100,75,303,8.0785,100,0
021,200,75,1,200,10050000,0,0,100,75,313,8.13229,100,0
022,200,75,7,200,10050000,0,0,100,75,280,7.88792,100,0
023,200,79,22,200,10050000,0,0,100,79,257,7.77743,100,0
024,200,86,0,200,10050000,0,0,100,86,297,8.02748,100,0
025,200,77,9,200,10050000,0,0,100,77,278,7.88561,100,0
026,200,76,0,200,10050000,0,0,100,76,314,8.13005,100,0
027,200,75,0,200,10050000,0,0,100,75,300,8.08303,100,0
028,200,75,0,200,10050000,0,0,100,75,311,8.10409,100,0
029,200,85,7,200,10050000,0,0,100,85,273,7.79569,100,0
030,200,75,0,200,10050000,0,0,100,75,320,8.16368,100,0
031,200,75,0,200,10050000,0,0,100,75,294,8.03699,100,0
032,200,75,0,200,10050000,0,0,100,75,313,8.12029,100,0
033,200,77,7,200,10050000,0,0,100,77,251,7.67588,100,0
034,200,85,4,200,10050000,0,0,100,85,276,7.90004,100,0
035,200,75,2,200,10050000,0,0,100,75,312,8.1178,100,0
036,200,78,12,200,10050000,0,0,100,78,273,7.85497,100,0
037,200,75,1,200,10050000,0,0,100,75,298,8.0385,100,0
038,200,75,2,200,10050000,0,0,100,75,307,8.08754,100,0
039,200,75,0,200,10050000,0,0,100,75,298,8.02819,100,0
040,200,82,21,200,10050000,0,0,100,82,270,7.84657,100,0
041,200,75,0,200,10050000,0,0,100,75,320,8.15581,100,0
042,200,75,1,200,10050000,0,0,100,75,310,8.09541,100,0
043,200,75,6,200,10050000,0,0,100,75,279,7.90575,100,0
044,200,79,5,200,10050000,0,0,100,79,261,7.64525,100,0
045,200,75,0,200,10050000,0,0,100,75,311,8.12303,100,0
046,200,75,1,200,10050000,0,0,100,75,320,8.15732,100,0
047,200,75,0,200,10050000,0,0,100,75,301,8.0625,100,0
048,200,77,74,200,10050000,0,0,100,77,264,7.75575,100,0
049,200,75,1,200,10050000,0,0,100,75,307,8.09488,100,0
050,200,75,0,200,10050000,0,0,100,75,310,8.11385,100,0
051,200,75,3,200,10050000,0,0,100,75,296,7.97374,100,0
052,200,75,1,200,10050000,0,0,100,75,317,8.16147,100,0
053,200,78,19,200,10050000,0,0,100,78,266,7.82389,100,0
054,200,75,2,200,10050000,0,0,100,75,329,8.18082,100,0
055,200,87,2,200,10050000,0,0,100,87,257,7.73132,100,0
056,200,77,15,200,10050000,0,0,100,77,274,7.85328,100,0
057,200,76,0,200,10050000,0,0,100,76,303,8.06743,100,0
058,200,77,122,200,10050000,0,0,100,77,262,7.80092,100,0
059,200,77,105,200,10050000,0,0,100,77,282,7.9133,100,0
060,200,78,0,200,10050000,0,0,100,78,246,6.70337,100,0
061,200,77,229,200,10050000,0,0,100,77,271,7.81995,100,0
062,200,76,2,200,10050000,0,0,100,76,310,8.0912,100,0
063,200,48,0,200,10050000,0,0,100,48,311,8.11176,100,0
064,200,75,0,200,10050000,0,0,100,75,315,8.14147,100,0
065,200,76,0,200,10050000,0,0,100,76,318,8.15131,100,0
066,200,75,3,200,10050000,0,0,100,75,296,8.04376,100,0
067,200,75,1,200,10050000,0,0,100,75,313,8.1258,100,0
068,200,75,2,200,10050000,0,0,100,75,302,8.0705,100,0
069,200,75,1,200,10050000,0,0,100,75,310,8.12001,100,0
070,200,85,1,200,10050000,0,0,100,85,295,8.03128,100,0
071,200,77,8,200,10050000,0,0,100,77,265,7.80788,100,0
072,200,75,1,200,10050000,0,0,100,75,320,8.16683,100,0
073,200,78,4,200,10050000,0,0,100,78,269,7.8009,100,0
074,200,78,9,200,10050000,0,0,100,78,262,7.80264,100,0
075,200,89,19,200,10050000,0,0,100,89,288,7.95998,100,0
076,200,75,1,200,10050000,0,0,100,75,262,7.50247,100,0
077,200,75,0,200,10050000,0,0,100,75,310,8.12225,100,0
078,200,76,34,200,10050000,0,0,100,76,275,7.73115,100,0
079,200,75,2,200,10050000,0,0,100,75,310,8.11765,100,0
080,200,75,0,200,10050000,0,0,100,75,296,8.02432,100,0
081,200,75,0,200,10050000,0,0,100,75,306,8.08283,100,0
082,200,75,0,200,10050000,0,0,100,75,315,8.13855,100,0
083,200,79,14,200,10050000,0,0,100,79,273,7.85016,100,0
084,200,76,0,200,10050000,0,0,100,76,320,8.15103,100,0
085,200,85,2,200,10050000,0,0,100,85,282,7.94892,100,0
086,200,78,318,200,10050000,0,0,100,78,124,3.41871,100,0
087,200,75,14,200,10050000,0,0,100,75,223,6.66179,100,0
088,200,75,2,200,10050000,0,0,100,75,309,8.10519,100,0
089,200,81,64,200,10050000,0,0,100,81,257,7.76787,100,0
090,200,75,1,200,10050000,0,0,100,75,319,8.16155,100,0
091,200,90,0,200,10050000,0,0,100,90,301,8.0579,100,0
092,200,88,7,200,10050000,0,0,100,88,271,7.83363,100,0
093,200,89,0,200,10050000,0,0,100,89,292,8.01417,100,0
094,200,76,1,200,10050000,0,0,100,76,307,8.05907,100,0
095,200,75,0,200,10050000,0,0,100,75,313,8.12376,100,0
096,200,75,1,200,10050000,0,0,100,75,313,8.11609,100,0
097,200,75,52,200,10050000,0,0,100,75,277,7.87378,100,0
098,200,76,0,200,10050000,0,0,100,76,313,8.13005,100,0
099,200,75,1,200,10050000,0,0,100,75,306,8.0985,100,0
100,200,75,0,200,10050000,0,0,100,75,307,8.08519,100,0
101,200,87,15,200,10050000,0,0,100,87,232,7.58092,100,0
102,200,84,30,200,10050000,0,0,100,84,238,7.57403,100,0
103,200,76,51,200,10050000,0,0,100,76,279,7.80353,100,0
104,200,75,0,200,10050000,0,0,100,75,315,8.14592,100,0
105,200,83,11,200,10050000,0,0,100,83,255,7.70422,100,0
106,200,81,24,200,10050000,0,0,100,81,271,7.84415,100,0
107,200,76,0,200,10050000,0,0,100,76,308,8.09694,100,0
108,200,75,1,200,10050000,0,0,100,75,315,8.13292,100,0
109,200,75,1,200,10050000,0,0,100,75,319,8.14482,100,0
110,200,75,1,200,10050000,0,0,100,75,308,8.10638,100,0
111,200,80,27,200,10050000,0,0,100,80,267,7.81298,100,0
112,200,80,19,200,10050000,0,0,100,80,254,7.70392,100,0
113,200,75,0,200,10050000,0,0,100,75,319,8.16441,100,0
114,200,76,68,200,10050000,0,0,100,76,282,7.88448,100,0
115,200,78,117,200,10050000,0,0,100,78,277,7.87388,100,0
116,200,76,0,200,10050000,0,0,100,76,317,8.13589,100,0
117,200,75,0,200,10050000,0,0,100,75,319,8.15649,100,0
118,200,75,1,200,10050000,0,0,100,75,304,8.06854,100,0
119,200,81,23,200,10050000,0,0,100,81,266,7.82482,100,0
120,200,75,1,200,10050000,0,0,100,75,305,8.09196,100,0
121,200,75,0,200,10050000,0,0,100,75,317,8.15123,100,0
122,200,75,1,200,10050000,0,0,100,75,316,8.14882,100,0
123,200,79,1,200,10050000,0,0,100,79,256,7.764,100,0
124,200,75,2,200,10050000,0,0,100,75,316,8.13805,100,0
125,200,75,0,200,10050000,0,0,100,75,315,8.1378,100,0
126,200,78,26,200,10050000,0,0,100,78,258,7.77026,100,0
127,200,75,1,200,10050000,0,0,100,75,309,8.10013,100,0
128,200,75,2,200,10050000,0,0,100,75,318,8.13956,100,0
129,200,75,0,200,10050000,0,0,100,75,312,8.12494,100,0
130,200,75,2,200,10050000,0,0,100,75,307,8.08813,100,0
131,200,75,0,200,10050000,0,0,100,75,315,8.14127,100,0
132,200,86,1,200,10050000,0,0,100,86,219,6.49408,100,0
133,200,76,1,200,10050000,0,0,100,76,277,7.87162,100,0
134,200,75,0,200,10050000,0,0,100,75,311,8.12225,100,0
135,200,80,20,200,10050000,0,0,100,80,287,7.95436,100,0
136,200,75,0,200,10050000,0,0,100,75,300,8.07621,100,0
137,200,75,1,200,10050000,0,0,100,75,316,8.13589,100,0
138,200,75,0,200,10050000,0,0,100,75,303,8.07025,100,0
139,200,75,0,200,10050000,0,0,100,75,325,8.18927,100,0
140,200,75,2,200,10050000,0,0,100,75,300,8.04892,100,0
141,200,75,2,200,10050000,0,0,100,75,325,8.19282,100,0
142,200,75,3,200,10050000,0,0,100,75,296,8.0108,100,0
143,200,76,3,200,10050000,0,0,100,76,328,8.18829,100,0
144,200,75,0,200,10050000,0,0,100,75,320,8.17103,100,0
145,200,75,0,200,10050000,0,0,100,75,316,8.13948,100,0
146,200,92,6,200,10050000,0,0,100,92,268,7.85344,100,0
147,200,92,0,200,10050000,0,0,100,92,299,8.05095,100,0
148,200,85,2,200,10050000,0,0,100,85,282,7.95928,100,0
149,200,75,1,200,10050000,0,0,100,75,308,8.11123,100,0
150,200,75,0,200,10050000,0,0,100,75,318,8.13287,100,0
151,200,85,7,200,10050000,0,0,100,85,258,7.79877,100,0
152,200,85,0,200,10050000,0,0,100,85,299,8.05752,100,0
153,200,92,5,200,10050000,0,0,100,92,227,7.54448,100,0
154,200,48,0,200,10050000,0,0,100,48,303,8.06026,100,0
155,200,75,0,200,10050000,0,0,100,75,319,8.14585,100,0
156,200,82,6,200,10050000,0,0,100,82,288,7.98066,100,0
157,200,80,142,200,10050000,0,0,100,80,261,7.73582,100,0
158,200,75,0,200,10050000,0,0,100,75,304,8.07364,100,0
159,200,75,1,200,10050000,0,0,100,75,325,8.17503,100,0
160,200,75,0,200,10050000,0,0,100,75,322,8.17234,100,0
161,200,87,1,200,10050000,0,0,100,87,260,7.79882,100,0
162,200,75,0,200,10050000,0,0,100,75,304,8.07088,100,0
163,200,76,1,200,10050000,0,0,100,76,311,8.09797,100,0
164,200,76,0,200,10050000,0,0,100,76,323,8.15483,100,0
165,200,76,24,200,10050000,0,0,100,76,266,7.80704,100,0
166,200,88,24,200,10050000,0,0,100,88,264,7.802,100,0
167,200,85,4,200,10050000,0,0,100,85,297,8.04512,100,0
168,200,75,1,200,10050000,0,0,100,75,312,8.12547,100,0
169,200,75,2,200,10050000,0,0,100,75,316,8.12499,100,0
170,200,75,0,200,10050000,0,0,100,75,300,8.05875,100,0
171,200,76,1,200,10050000,0,0,100,76,305,8.06021,100,0
172,200,75,4,200,10050000,0,0,100,75,309,8.09116,100,0
173,200,75,0,200,10050000,0,0,100,75,310,8.0947,100,0
174,200,75,2,200,10050000,0,0,100,75,309,8.10079,100,0
175,200,76,0,200,10050000,0,0,100,76,310,8.12021,100,0
176,200,75,3,200,10050000,0,0,100,75,267,7.59232,100,0
177,200,78,1,200,10050000,0,0,100,78,235,6.4889,100,0
178,200,79,7,200,10050000,0,0,100,79,281,7.9039,100,0
179,200,75,1,200,10050000,0,0,100,75,313,8.11825,100,0
180,200,48,2,200,10050000,0,0,100,48,321,8.17123,100,0
181,200,85,1,200,10050000,0,0,100,85,298,8.02708,100,0
182,200,75,3,200,10050000,0,0,100,75,268,7.28302,100,0
183,200,75,0,200,10050000,0,0,100,75,309,8.09508,100,0
184,200,75,0,200,10050000,0,0,100,75,296,8.01699,100,0
185,200,95,1,200,10050000,0,0,100,95,268,7.89045,100,0
186,200,89,2,200,10050000,0,0,100,89,272,7.84194,100,0
187,200,77,219,200,10050000,0,0,100,77,264,7.8137,100,0
188,200,83,72,200,10050000,0,0,100,83,258,7.73062,100,0
189,200,75,0,200,10050000,0,0,100,75,325,8.17727,100,0
190,200,77,8,200,10050000,0,0,100,77,266,7.82921,100,0
191,200,75,10,200,10050000,0,0,100,75,258,7.7414,100,0
192,200,48,0,200,10050000,0,0,100,48,313,8.12311,100,0
193,200,85,0,200,10050000,0,0,100,85,286,7.90654,100,0
194,200,75,0,200,10050000,0,0,100,75,316,8.13878,100,0
195,200,88,11,200,10050000,0,0,100,88,269,7.78507,100,0
196,200,75,0,200,10050000,0,0,100,75,318,8.16107,100,0
197,200,75,0,200,10050000,0,0,100,75,303,8.05908,100,0
198,200,85,2,200,10050000,0,0,100,85,307,8.0823,100,0
199,200,75,0,200,10050000,0,0,100,75,323,8.1665,100,0
200,200,75,2,200,10050000,0,0,100,75,282,7.92077,100,0
201,200,76,0,200,10050000,0,0,100,76,309,8.11674,100,0
202,200,76,1,200,10050000,0,0,100,76,322,8.18592,100,0
203,200,76,1,200,10050000,0,0,100,76,319,8.14585,100,0
204,200,75,0,200,10050000,0,0,100,75,317,8.13996,100,0
205,200,75,1,200,10050000,0,0,100,75,314,8.12454,100,0
206,200,75,0,200,10050000,0,0,100,75,319,8.1418,100,0
207,200,77,36,200,10050000,0,0,100,77,258,7.69058,100,0
208,200,75,0,200,10050000,0,0,100,75,305,8.08021,100,0
209,200,75,1,200,10050000,0,0,100,75,284,7.95501,100,0
210,200,75,2,200,10050000,0,0,100,75,306,8.08256,100,0
211,200,78,0,200,10050000,0,0,100,78,305,8.09833,100,0
212,200,79,4,200,10050000,0,0,100,79,271,7.82453,100,0
213,200,85,2,200,10050000,0,0,100,85,300,8.06446,100,0
214,200,75,0,200,10050000,0,0,100,75,305,8.10107,100,0
215,200,78,94,200,10050000,0,0,100,78,265,7.80885,100,0
216,200,82,5,200,10050000,0,0,100,82,277,7.89277,100,0
217,200,85,7,200,10050000,0,0,100,85,268,7.61159,100,0
218,200,76,0,200,10050000,0,0,100,76,246,7.51407,100,0
219,200,81,52,200,10050000,0,0,100,81,246,7.58635,100,0
220,200,75,0,200,10050000,0,0,100,75,320,8.1698,100,0
221,200,75,1,200,10050000,0,0,100,75,307,8.08728,100,0
222,200,75,0,200,10050000,0,0,100,75,307,8.0699,100,0
223,200,81,6,200,10050000,0,0,100,81,260,7.75728,100,0
224,200,75,0,200,10050000,0,0,100,75,302,8.04774,100,0
225,200,75,2,200,10050000,0,0,100,75,319,8.14874,100,0
226,200,75,0,200,10050000,0,0,100,75,302,8.06381,100,0
227,200,75,0,200,10050000,0,0,100,75,314,8.12527,100,0
228,200,78,1,200,10050000,0,0,100,78,310,8.10781,100,0
