rep,replay_gen,replay_rep,max_update,best_org_fitness,best_org_id,update,evaluations,test_estimations,found_solution,pop_training_coverage,max_approx_agg_score,num_unique_selected,entropy_selected_ids,parents_training_coverage,training_coverage_loss
296,lineage_gen_36,rep_001,145,100,176,145,7300000,0,1,100,100,1,-0,100,0
296,lineage_gen_36,rep_002,164,83,2,164,8250000,0,0,100,83,260,7.7914,100,0
296,lineage_gen_36,rep_003,164,82,35,164,8250000,0,0,100,82,275,7.89464,100,0
296,lineage_gen_36,rep_004,164,86,21,164,8250000,0,0,100,86,271,7.86546,100,0
296,lineage_gen_36,rep_005,164,79,2,164,8250000,0,0,100,79,268,7.84047,100,0
296,lineage_gen_36,rep_006,164,85,3,164,8250000,0,0,100,85,281,7.83629,100,0
296,lineage_gen_36,rep_007,164,82,7,164,8250000,0,0,100,82,260,7.6923,100,0
296,lineage_gen_36,rep_008,164,79,15,164,8250000,0,0,100,79,275,7.8715,100,0
296,lineage_gen_36,rep_009,164,85,1,164,8250000,0,0,100,85,262,7.77474,100,0
296,lineage_gen_36,rep_010,164,85,13,164,8250000,0,0,100,85,270,7.82126,100,0
296,lineage_gen_36,rep_011,164,78,227,164,8250000,0,0,100,78,269,7.80124,100,0
296,lineage_gen_36,rep_012,164,89,4,164,8250000,0,0,100,89,277,7.92628,100,0
296,lineage_gen_36,rep_013,164,94,453,164,8250000,0,0,100,94,186,5.91385,100,0
296,lineage_gen_36,rep_014,164,89,1,164,8250000,0,0,100,89,263,7.78692,100,0
296,lineage_gen_36,rep_015,164,88,4,164,8250000,0,0,100,88,270,7.85195,100,0
296,lineage_gen_36,rep_016,164,89,1,164,8250000,0,0,100,89,256,7.79986,100,0
296,lineage_gen_36,rep_017,164,90,10,164,8250000,0,0,100,90,274,7.90164,100,0
296,lineage_gen_36,rep_018,164,86,4,164,8250000,0,0,100,86,272,7.8776,100,0
296,lineage_gen_36,rep_019,164,90,24,164,8250000,0,0,100,90,275,7.81534,100,0
296,lineage_gen_36,rep_020,164,93,0,164,8250000,0,0,100,93,281,7.91852,100,0
296,lineage_gen_36,rep_021,164,81,13,164,8250000,0,0,100,81,247,7.52927,100,0
296,lineage_gen_36,rep_022,164,95,1,164,8250000,0,0,100,95,243,7.52804,100,0
296,lineage_gen_36,rep_023,164,82,31,164,8250000,0,0,100,82,259,7.7359,100,0
296,lineage_gen_36,rep_024,164,83,19,164,8250000,0,0,100,83,262,7.78719,100,0
296,lineage_gen_36,rep_025,164,80,76,164,8250000,0,0,100,80,263,7.81171,100,0
296,lineage_gen_36,rep_026,164,79,39,164,8250000,0,0,100,79,265,7.8218,100,0
296,lineage_gen_36,rep_027,164,94,244,164,8250000,0,0,100,94,189,5.84521,100,0
296,lineage_gen_36,rep_028,164,78,78,164,8250000,0,0,100,78,277,7.88383,100,0
296,lineage_gen_36,rep_029,164,90,1,164,8250000,0,0,100,90,280,7.94589,100,0
296,lineage_gen_36,rep_030,164,80,4,164,8250000,0,0,100,80,264,7.81496,100,0
296,lineage_gen_36,rep_031,164,86,24,164,8250000,0,0,100,86,267,7.86743,100,0
296,lineage_gen_36,rep_032,164,86,11,164,8250000,0,0,100,86,271,7.88341,100,0
296,lineage_gen_36,rep_033,164,82,5,164,8250000,0,0,100,82,271,7.86479,100,0
296,lineage_gen_36,rep_034,164,81,0,164,8250000,0,0,100,81,260,7.76323,100,0
296,lineage_gen_36,rep_035,164,85,3,164,8250000,0,0,100,85,271,7.88879,100,0
296,lineage_gen_36,rep_036,164,78,10,164,8250000,0,0,100,78,253,7.70028,100,0
296,lineage_gen_36,rep_037,164,79,6,164,8250000,0,0,100,79,279,7.90784,100,0
296,lineage_gen_36,rep_038,164,88,0,164,8250000,0,0,100,88,288,7.98208,100,0
296,lineage_gen_36,rep_039,164,81,18,164,8250000,0,0,100,81,260,7.74613,100,0
296,lineage_gen_36,rep_040,164,78,54,164,8250000,0,0,100,78,249,7.62875,100,0
296,lineage_gen_36,rep_041,164,79,48,164,8250000,0,0,100,79,262,7.78618,100,0
296,lineage_gen_36,rep_042,164,88,23,164,8250000,0,0,100,88,259,7.7794,100,0
296,lineage_gen_36,rep_043,164,79,14,164,8250000,0,0,100,79,282,7.92818,100,0
296,lineage_gen_36,rep_044,164,84,5,164,8250000,0,0,100,84,276,7.86258,100,0
296,lineage_gen_36,rep_045,164,86,455,164,8250000,0,0,100,86,244,7.29267,100,0
296,lineage_gen_36,rep_046,164,82,6,164,8250000,0,0,100,82,264,7.81576,100,0
296,lineage_gen_36,rep_047,164,85,0,164,8250000,0,0,100,85,268,7.82648,100,0
296,lineage_gen_36,rep_048,164,80,16,164,8250000,0,0,100,80,273,7.85447,100,0
296,lineage_gen_36,rep_049,164,88,5,164,8250000,0,0,100,88,255,7.77759,100,0
296,lineage_gen_36,rep_050,164,78,2,164,8250000,0,0,100,78,271,7.83721,100,0
296,lineage_gen_36,rep_051,164,98,4,164,8250000,0,0,100,98,236,7.64247,100,0
296,lineage_gen_36,rep_052,164,85,6,164,8250000,0,0,100,85,274,7.84825,100,0
296,lineage_gen_36,rep_053,164,90,16,164,8250000,0,0,100,90,276,7.91696,100,0
296,lineage_gen_36,rep_054,164,85,11,164,8250000,0,0,100,85,251,7.7034,100,0
296,lineage_gen_36,rep_055,164,90,1,164,8250000,0,0,100,90,267,7.86215,100,0
296,lineage_gen_36,rep_056,164,78,30,164,8250000,0,0,100,78,268,7.78558,100,0
296,lineage_gen_36,rep_057,164,87,4,164,8250000,0,0,100,87,289,7.86508,100,0
296,lineage_gen_36,rep_058,164,86,13,164,8250000,0,0,100,86,270,7.75529,100,0
296,lineage_gen_36,rep_059,164,87,5,164,8250000,0,0,100,87,268,7.78123,100,0
296,lineage_gen_36,rep_060,164,80,3,164,8250000,0,0,100,80,273,7.81497,100,0
296,lineage_gen_36,rep_061,164,81,17,164,8250000,0,0,100,81,270,7.72057,100,0
296,lineage_gen_36,rep_062,164,80,6,164,8250000,0,0,100,80,260,7.74544,100,0
296,lineage_gen_36,rep_063,164,93,1,164,8250000,0,0,100,93,251,7.34444,100,0
296,lineage_gen_36,rep_064,164,81,92,164,8250000,0,0,100,81,268,7.80272,100,0
296,lineage_gen_36,rep_065,164,100,1,164,8250000,0,0,100,100,284,7.97641,100,0
296,lineage_gen_36,rep_066,164,85,2,164,8250000,0,0,100,85,256,7.75192,100,0
