update,evaluations,test_estimations,found_solution,pop_training_coverage,max_approx_agg_score,num_unique_selected,entropy_selected_ids,parents_training_coverage,training_coverage_loss
0,50000,0,0,100,48,136,6.85494,100,0
1,100000,0,0,100,48,318,8.146,100,0
2,150000,0,0,100,48,306,8.09161,100,0
3,200000,0,0,100,48,310,8.1029,100,0
4,250000,0,0,100,48,318,8.14874,100,0
5,300000,0,0,100,48,308,8.11053,100,0
6,350000,0,0,100,48,316,8.14841,100,0
7,400000,0,0,100,48,307,8.08225,100,0
8,450000,0,0,100,48,322,8.14879,100,0
9,500000,0,0,100,48,308,8.09347,100,0
10,550000,0,0,100,48,314,8.12376,100,0
11,600000,0,0,100,48,305,8.09707,100,0
12,650000,0,0,100,48,308,8.07574,100,0
13,700000,0,0,100,48,317,8.15478,100,0
14,750000,0,0,100,48,318,8.13752,100,0
15,800000,0,0,100,48,323,8.17083,100,0
16,850000,0,0,100,48,316,8.14605,100,0
17,900000,0,0,100,48,308,8.09176,100,0
18,950000,0,0,100,48,328,8.18054,100,0
19,1000000,0,0,100,48,308,8.10625,100,0
20,1050000,0,0,100,48,311,8.07911,100,0
21,1100000,0,0,100,48,311,8.08464,100,0
22,1150000,0,0,100,48,309,8.10658,100,0
23,1200000,0,0,100,48,322,8.17898,100,0
24,1250000,0,0,100,48,301,8.06079,100,0
25,1300000,0,0,100,48,319,8.15249,100,0
26,1350000,0,0,100,48,311,8.10046,100,0
27,1400000,0,0,100,53,211,5.68407,100,0
28,1450000,0,0,100,75,140,3.56244,100,0
29,1500000,0,0,100,75,314,8.12992,100,0
30,1550000,0,0,100,75,307,8.09405,100,0
31,1600000,0,0,100,75,302,8.04787,100,0
32,1650000,0,0,100,75,308,8.09372,100,0
33,1700000,0,0,100,75,315,8.14376,100,0
34,1750000,0,0,100,75,301,8.07601,100,0
35,1800000,0,0,100,75,322,8.16703,100,0
36,1850000,0,0,100,75,311,8.10826,100,0
37,1900000,0,0,100,75,277,7.08867,100,0
38,1950000,0,0,100,75,261,6.66669,100,0
39,2000000,0,0,100,75,192,5.61967,100,0
40,2050000,0,0,100,75,295,7.94648,100,0
41,2100000,0,0,100,75,269,7.42904,100,0
42,2150000,0,0,100,76,221,6.42815,100,0
43,2200000,0,0,100,76,265,7.49814,100,0
44,2250000,0,0,100,76,249,7.22751,100,0
45,2300000,0,0,100,76,287,7.79346,100,0
46,2350000,0,0,100,76,284,7.95014,100,0
47,2400000,0,0,100,76,290,7.96584,100,0
48,2450000,0,0,100,76,258,7.54063,100,0
49,2500000,0,0,100,76,285,7.93692,100,0
50,2550000,0,0,100,78,252,7.08772,100,0
51,2600000,0,0,100,78,263,7.58777,100,0
52,2650000,0,0,100,79,219,6.84369,100,0
53,2700000,0,0,100,79,266,7.61966,100,0
54,2750000,0,0,100,79,284,7.92852,100,0
55,2800000,0,0,100,81,202,6.1802,100,0
56,2850000,0,0,100,81,268,7.53319,100,0
57,2900000,0,0,100,82,199,6.18497,100,0
58,2950000,0,0,100,85,214,6.30027,100,0
59,3000000,0,0,100,85,279,7.90935,100,0
60,3050000,0,0,100,85,194,5.83733,100,0
61,3100000,0,0,100,85,274,7.87672,100,0
62,3150000,0,0,100,85,269,7.6191,100,0
63,3200000,0,0,100,86,218,6.71547,100,0
64,3250000,0,0,100,91,123,3.89857,100,0
65,3300000,0,0,100,97,47,3.86975,100,0
66,3350000,0,0,100,99,16,1.83309,100,0
67,3400000,0,0,100,99,269,7.88339,100,0
68,3450000,0,0,100,99,264,7.82403,100,0
69,3500000,0,0,100,99,277,7.91937,100,0
70,3550000,0,0,100,99,261,7.83755,100,0
71,3600000,0,0,100,99,287,7.97463,100,0
72,3650000,0,0,100,99,272,7.89015,100,0
73,3700000,0,0,100,99,273,7.91344,100,0
74,3750000,0,0,100,99,260,7.75149,100,0
75,3800000,0,1,100,100,1,-0,100,0
