rep,max_update,best_org_fitness,best_org_id,update,evaluations,test_estimations,found_solution,pop_training_coverage,max_approx_agg_score,num_unique_selected,entropy_selected_ids,parents_training_coverage,training_coverage_loss
001,200,77,96,200,10050000,0,0,100,77,267,7.54344,100,0
002,200,76,0,200,10050000,0,0,100,76,305,8.07687,100,0
003,200,76,0,200,10050000,0,0,100,76,320,8.16507,100,0
004,200,75,3,200,10050000,0,0,100,75,318,8.15543,100,0
005,200,85,0,200,10050000,0,0,100,85,300,8.0663,100,0
006,200,75,0,200,10050000,0,0,100,75,311,8.10801,100,0
007,200,75,0,200,10050000,0,0,100,75,307,8.10409,100,0
008,200,77,128,200,10050000,0,0,100,77,249,7.72605,100,0
009,200,75,1,200,10050000,0,0,100,75,317,8.14152,100,0
010,200,75,0,200,10050000,0,0,100,75,321,8.16205,100,0
011,200,82,19,200,10050000,0,0,100,82,249,7.70369,100,0
012,200,75,0,200,10050000,0,0,100,75,309,8.09005,100,0
013,200,85,2,200,10050000,0,0,100,85,285,7.96334,100,0
014,200,75,2,200,10050000,0,0,100,75,316,8.12396,100,0
015,200,78,111,200,10050000,0,0,100,78,253,7.67225,100,0
016,200,78,15,200,10050000,0,0,100,78,273,7.84847,100,0
017,200,76,3,200,10050000,0,0,100,76,307,8.07895,100,0
018,200,75,1,200,10050000,0,0,100,75,306,8.09045,100,0
019,200,75,4,200,10050000,0,0,100,75,316,8.10892,100,0
020,200,89,6,200,10050000,0,0,100,89,286,7.97146,100,0
021,200,89,0,200,10050000,0,0,100,89,263,7.83995,100,0
022,200,76,2,200,10050000,0,0,100,76,317,8.14323,100,0
023,200,75,8,200,10050000,0,0,100,75,282,7.92101,100,0
024,200,81,149,200,10050000,0,0,100,81,266,7.78588,100,0
025,200,75,2,200,10050000,0,0,100,75,316,8.13176,100,0
026,200,75,0,200,10050000,0,0,100,75,311,8.10409,100,0
027,200,75,1,200,10050000,0,0,100,75,313,8.12185,100,0
028,200,77,231,200,10050000,0,0,100,77,116,3.50092,100,0
029,200,75,1,200,10050000,0,0,100,75,310,8.10557,100,0
030,200,77,1,200,10050000,0,0,100,77,261,7.62285,100,0
031,200,88,0,200,10050000,0,0,100,88,290,7.98563,100,0
032,200,75,0,200,10050000,0,0,100,75,313,8.10479,100,0
033,200,75,0,200,10050000,0,0,100,75,316,8.14698,100,0
034,200,75,0,200,10050000,0,0,100,75,321,8.16502,100,0
035,200,79,101,200,10050000,0,0,100,79,259,7.76708,100,0
036,200,48,1,200,10050000,0,0,100,48,309,8.09181,100,0
037,200,75,0,200,10050000,0,0,100,75,311,8.10932,100,0
038,200,94,4,200,10050000,0,0,100,94,251,7.69116,100,0
039,200,75,1,200,10050000,0,0,100,75,310,8.09541,100,0
040,200,76,1,200,10050000,0,0,100,76,309,8.0943,100,0
041,200,75,1,200,10050000,0,0,100,75,304,8.08368,100,0
042,200,82,52,200,10050000,0,0,100,82,263,7.76314,100,0
043,200,75,0,200,10050000,0,0,100,75,311,8.11279,100,0
044,200,75,1,200,10050000,0,0,100,75,319,8.1461,100,0
045,200,86,2,200,10050000,0,0,100,86,277,7.92488,100,0
046,200,75,0,200,10050000,0,0,100,75,309,8.08736,100,0
047,200,76,145,200,10050000,0,0,100,76,257,7.70821,100,0
048,200,86,7,200,10050000,0,0,100,86,276,7.92721,100,0
049,200,82,6,200,10050000,0,0,100,82,276,7.85806,100,0
050,200,75,0,200,10050000,0,0,100,75,313,8.11148,100,0
051,200,75,1,200,10050000,0,0,100,75,313,8.12879,100,0
052,200,77,15,200,10050000,0,0,100,77,274,7.85328,100,0
053,200,75,0,200,10050000,0,0,100,75,309,8.09168,100,0
054,200,78,0,200,10050000,0,0,100,78,314,8.10046,100,0
055,200,75,0,200,10050000,0,0,100,75,310,8.10384,100,0
056,200,94,2,200,10050000,0,0,100,94,261,7.77428,100,0
057,200,75,4,200,10050000,0,0,100,75,298,8.02001,100,0
058,200,75,0,200,10050000,0,0,100,75,313,8.12316,100,0
059,200,90,8,200,10050000,0,0,100,90,275,7.9173,100,0
060,200,75,31,200,10050000,0,0,100,75,275,7.85281,100,0
061,200,80,76,200,10050000,0,0,100,80,267,7.80385,100,0
062,200,75,0,200,10050000,0,0,100,75,313,8.13543,100,0
063,200,85,0,200,10050000,0,0,100,85,297,8.03397,100,0
064,200,75,2,200,10050000,0,0,100,75,306,8.09755,100,0
065,200,85,1,200,10050000,0,0,100,85,295,8.03128,100,0
066,200,82,0,200,10050000,0,0,100,82,258,7.79352,100,0
067,200,75,1,200,10050000,0,0,100,75,295,8.01148,100,0
068,200,76,68,200,10050000,0,0,100,76,257,7.65879,100,0
069,200,75,0,200,10050000,0,0,100,75,309,8.09246,100,0
070,200,81,7,200,10050000,0,0,100,81,247,7.65962,100,0
071,200,75,0,200,10050000,0,0,100,75,306,8.08728,100,0
072,200,75,0,200,10050000,0,0,100,75,323,8.18021,100,0
073,200,75,0,200,10050000,0,0,100,75,308,8.11535,100,0
074,200,75,0,200,10050000,0,0,100,75,315,8.14421,100,0
075,200,75,1,200,10050000,0,0,100,75,306,8.0858,100,0
076,200,78,9,200,10050000,0,0,100,78,253,7.69355,100,0
077,200,75,0,200,10050000,0,0,100,75,314,8.1139,100,0
