rep,replay_gen,replay_rep,max_update,best_org_fitness,best_org_id,update,evaluations,test_estimations,found_solution,pop_training_coverage,max_approx_agg_score,num_unique_selected,entropy_selected_ids,parents_training_coverage,training_coverage_loss
305,gen_1,rep_001,199,75,0,199,10000000,0,0,100,75,304,8.0987,100,0
305,gen_1,rep_002,199,78,53,199,10000000,0,0,100,78,270,7.83282,100,0
305,gen_1,rep_003,199,78,7,199,10000000,0,0,100,78,269,7.81951,100,0
305,gen_1,rep_004,199,75,0,199,10000000,0,0,100,75,321,8.18698,100,0
305,gen_1,rep_005,199,88,24,199,10000000,0,0,100,88,271,7.83298,100,0
305,gen_1,rep_006,199,90,15,199,10000000,0,0,100,90,276,7.91068,100,0
305,gen_1,rep_007,199,75,0,199,10000000,0,0,100,75,314,8.1063,100,0
305,gen_1,rep_008,177,100,137,177,8900000,0,1,100,100,2,0.999954,100,0
305,gen_1,rep_009,199,78,173,199,10000000,0,0,100,78,270,7.82467,100,0
305,gen_1,rep_010,199,91,2,199,10000000,0,0,100,91,296,8.02051,100,0
305,gen_1,rep_011,199,75,0,199,10000000,0,0,100,75,321,8.17217,100,0
305,gen_1,rep_012,199,75,0,199,10000000,0,0,100,75,311,8.11078,100,0
305,gen_1,rep_013,199,84,11,199,10000000,0,0,100,84,262,7.72315,100,0
305,gen_1,rep_014,199,78,100,199,10000000,0,0,100,78,267,7.78518,100,0
305,gen_1,rep_015,199,77,126,199,10000000,0,0,100,77,272,7.84814,100,0
305,gen_1,rep_016,199,75,0,199,10000000,0,0,100,75,298,8.03805,100,0
305,gen_1,rep_017,199,77,159,199,10000000,0,0,100,77,264,7.81694,100,0
305,gen_1,rep_018,199,79,0,199,10000000,0,0,100,79,269,7.78799,100,0
305,gen_1,rep_019,199,75,1,199,10000000,0,0,100,75,314,8.12527,100,0
305,gen_1,rep_020,199,77,159,199,10000000,0,0,100,77,272,7.8723,100,0
305,gen_1,rep_021,199,77,61,199,10000000,0,0,100,77,262,7.7671,100,0
305,gen_1,rep_022,199,75,0,199,10000000,0,0,100,75,303,8.07103,100,0
305,gen_1,rep_023,199,75,0,199,10000000,0,0,100,75,307,8.09621,100,0
305,gen_1,rep_024,199,75,0,199,10000000,0,0,100,75,305,8.086,100,0
