update,evaluations,test_estimations,found_solution,pop_training_coverage,max_approx_agg_score,num_unique_selected,entropy_selected_ids,parents_training_coverage,training_coverage_loss
0,50000,0,0,100,48,106,6.30046,100,0
1,100000,0,0,100,48,318,8.16474,100,0
2,150000,0,0,100,48,201,6.21407,100,0
3,200000,0,0,100,48,313,8.10675,100,0
4,250000,0,0,100,48,312,8.11596,100,0
5,300000,0,0,100,48,319,8.17151,100,0
6,350000,0,0,100,48,319,8.15405,100,0
7,400000,0,0,100,48,309,8.10421,100,0
8,450000,0,0,100,48,318,8.16723,100,0
9,500000,0,0,100,48,318,8.14532,100,0
10,550000,0,0,100,48,321,8.15307,100,0
11,600000,0,0,100,48,311,8.12029,100,0
12,650000,0,0,100,48,327,8.20449,100,0
13,700000,0,0,100,75,120,3.24262,100,0
14,750000,0,0,100,75,298,8.03823,100,0
15,800000,0,0,100,75,262,6.87927,100,0
16,850000,0,0,100,75,316,8.12743,100,0
17,900000,0,0,100,75,311,8.10952,100,0
18,950000,0,0,100,75,298,8.03699,100,0
19,1000000,0,0,100,75,316,8.13883,100,0
20,1050000,0,0,100,75,306,8.08623,100,0
21,1100000,0,0,100,75,305,8.06819,100,0
22,1150000,0,0,100,75,315,8.14245,100,0
23,1200000,0,0,100,75,298,8.05951,100,0
24,1250000,0,0,100,75,311,8.12789,100,0
25,1300000,0,0,100,75,307,8.07279,100,0
26,1350000,0,0,100,75,298,8.0383,100,0
27,1400000,0,0,100,75,313,8.10625,100,0
28,1450000,0,0,100,75,307,8.08846,100,0
29,1500000,0,0,100,75,294,8.01777,100,0
30,1550000,0,0,100,75,309,8.10225,100,0
31,1600000,0,0,100,75,306,8.0823,100,0
32,1650000,0,0,100,75,301,8.05805,100,0
33,1700000,0,0,100,75,315,8.1338,100,0
34,1750000,0,0,100,75,303,8.06625,100,0
35,1800000,0,0,100,75,305,8.06585,100,0
36,1850000,0,0,100,75,308,8.08001,100,0
37,1900000,0,0,100,75,312,8.11843,100,0
38,1950000,0,0,100,75,313,8.12499,100,0
39,2000000,0,0,100,75,311,8.11221,100,0
40,2050000,0,0,100,75,307,8.09858,100,0
41,2100000,0,0,100,75,307,8.09825,100,0
42,2150000,0,0,100,75,296,8.03194,100,0
43,2200000,0,0,100,75,314,8.1061,100,0
44,2250000,0,0,100,75,297,8.01418,100,0
45,2300000,0,0,100,75,310,8.10597,100,0
46,2350000,0,0,100,75,304,8.07201,100,0
47,2400000,0,0,100,75,297,8.05662,100,0
48,2450000,0,0,100,75,304,8.06899,100,0
49,2500000,0,0,100,75,308,8.10049,100,0
50,2550000,0,0,100,75,330,8.20564,100,0
51,2600000,0,0,100,75,306,8.10323,100,0
52,2650000,0,0,100,75,308,8.10119,100,0
53,2700000,0,0,100,75,314,8.12723,100,0
54,2750000,0,0,100,75,308,8.10743,100,0
55,2800000,0,0,100,75,298,8.02905,100,0
56,2850000,0,0,100,75,309,8.1189,100,0
57,2900000,0,0,100,75,302,8.06499,100,0
58,2950000,0,0,100,75,306,8.08446,100,0
59,3000000,0,0,100,75,312,8.11641,100,0
60,3050000,0,0,100,75,311,8.10683,100,0
61,3100000,0,0,100,75,313,8.12597,100,0
62,3150000,0,0,100,75,309,8.09103,100,0
63,3200000,0,0,100,75,303,8.07319,100,0
64,3250000,0,0,100,75,309,8.10348,100,0
65,3300000,0,0,100,75,302,8.07719,100,0
66,3350000,0,0,100,75,306,8.07692,100,0
67,3400000,0,0,100,75,291,7.9977,100,0
68,3450000,0,0,100,75,314,8.12985,100,0
69,3500000,0,0,100,75,308,8.10225,100,0
70,3550000,0,0,100,75,308,8.10768,100,0
71,3600000,0,0,100,75,314,8.14731,100,0
72,3650000,0,0,100,75,303,8.08446,100,0
73,3700000,0,0,100,75,313,8.11201,100,0
74,3750000,0,0,100,75,318,8.14776,100,0
75,3800000,0,0,100,75,310,8.10426,100,0
